Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,66200,66400,65400,65500,62940.01953,19355755
2022-06-08,65400,65700,65300,65300,62747.83594,12483180
2022-06-09,65100,65200,64500,65200,62651.75,25790725
2022-06-10,64000,64400,63800,63800,61306.46875,22193552
2022-06-13,62400,62800,62100,62100,59672.91016,22157816
2022-06-14,61200,62200,61100,61900,59480.72266,24606419
2022-06-15,61300,61500,60200,60700,58327.625,26811224
2022-06-16,61300,61800,60500,60900,58519.8125,23394895
2022-06-17,59400,59900,59400,59800,57462.79688,29053450
2022-06-20,59800,59900,58100,58700,56405.78906,34111306
2022-06-21,58700,59200,58200,58500,56213.60938,25148109
2022-06-22,59000,59100,57600,57600,55348.78125,23334687
2022-06-23,57700,58000,56800,57400,55156.59766,28338608
2022-06-24,57900,59100,57700,58400,56117.52344,23256103
2022-06-27,59000,59900,58300,58800,56501.88672,18122236
2022-06-28,59200,59500,58700,59400,57078.4375,13540538
2022-06-29,58500,58800,58000,58000,56073.93359,14677138
2022-06-30,57200,57600,57000,57000,55107.14063,18915142
2022-07-01,56900,57500,55900,56200,54333.71094,24982097
2022-07-04,56100,57400,55700,57100,55203.82422,17807126
2022-07-05,57600,58200,57200,57200,55300.50391,14216539
2022-07-06,57300,57300,56400,56400,54527.07813,16820461
2022-07-07,56400,58700,56300,58200,56267.29297,21322833
2022-07-08,58600,59300,58200,58700,56750.69141,15339271
2022-07-11,59300,59600,58700,58800,56847.37109,13042624
2022-07-12,58600,58700,58100,58100,56170.62109,9336061
2022-07-13,58300,58600,58000,58000,56073.93359,10841315
2022-07-14,57500,58200,57400,57500,55590.53906,15067012
2022-07-15,58400,60000,58100,60000,58007.52344,18685583
2022-07-18,60600,62000,60500,61900,59844.42969,20832517
2022-07-19,61400,61500,60200,60900,58877.63672,15248261
2022-07-20,61800,62100,60500,60500,58490.91797,16782238
2022-07-21,61100,61900,60700,61800,59747.75,12291374
2022-07-22,61800,62200,61200,61300,59264.35156,10261310
2022-07-25,60900,61900,60800,61100,59070.99219,9193681
2022-07-26,60800,61900,60800,61700,59651.06641,6597211
2022-07-27,61300,61900,61200,61800,59747.75,7320997
2022-07-28,62300,62600,61600,61900,59844.42969,10745302
2022-07-29,62400,62600,61300,61400,59361.03125,15093120
2022-08-01,61000,61700,60300,61300,59264.35156,13154816
2022-08-02,61200,61900,61000,61700,59651.06641,13614895
2022-08-03,61600,61600,61000,61300,59264.35156,10053861
2022-08-04,61700,61800,61200,61500,59457.70703,9125439
2022-08-05,61700,61900,61200,61500,59457.70703,9567620
2022-08-08,61400,61400,60600,60800,58780.96094,11313150
2022-08-09,60600,60700,59600,60000,58007.52344,18251170
